[TYPE],,,,,
Mixed CSV,,,,,
[INFOMATION],,,,,
32.9,1035.737,1.6325,163.25,562.075,0
33,1035.742,1.637,163.7,562.078,0
33.1,1036.826,1.6425,164.25,562.666,0
33.2,1037.636,1.647,164.7,563.105,0
33.3,1038.089,1.652,165.2,563.351,0
33.4,1039.256,1.657,165.7,563.984,0
33.5,1039.8,1.662,166.2,564.28,0
33.6,1040.615,1.667,166.7,564.722,0
33.7,1041.606,1.672,167.2,565.26,0
33.8,1042.123,1.677,167.7,565.54,0
33.9,1043.09,1.6825,168.25,566.065,0
34,1043.947,1.6875,168.75,566.53,0
34.1,1044.42,1.6925,169.25,566.787,0
34.2,1045.365,1.6975,169.75,567.3,0
34.3,1046.132,1.7025,170.25,567.716,0
34.4,1046.327,1.7075,170.75,567.822,0
34.5,1047.689,1.7125,171.25,568.561,0
34.6,1048.181,1.7175,171.75,568.828,0
34.7,1048.198,1.722,172.2,568.837,0
34.8,1049.27,1.727,172.7,569.419,0
34.9,1049.783,1.732,173.2,569.697,0
35,1050.395,1.7365,173.65,570.029,0
35.1,1051.347,1.742,174.2,570.546,0
35.2,1051.967,1.7465,174.65,570.883,0
35.3,1052.864,1.7515,175.15,571.369,0
35.4,1053.672,1.757,175.7,571.808,0
35.5,1054.279,1.7615,176.15,572.137,0
35.6,1055.366,1.767,176.7,572.727,0
35.7,1055.786,1.772,177.2,572.955,0
35.8,1056.337,1.777,177.7,573.254,0
35.9,1057.66,1.7825,178.25,573.972,0
36,1057.805,1.787,178.7,574.051,0
36.1,1058.31,1.792,179.2,574.325,0
36.2,1059.499,1.797,179.7,574.97,0
36.3,1059.591,1.8015,180.15,575.02,0
36.4,1060.089,1.807,180.7,575.29,0
36.5,1061.117,1.8115,181.15,575.848,0
36.6,1061.513,1.8165,181.65,576.063,0
36.7,1062.472,1.8215,182.15,576.583,0
36.8,1063.293,1.8265,182.65,577.029,0
36.9,1063.607,1.8315,183.15,577.199,0
37,1064.533,1.8365,183.65,577.702,0
37.1,1065.259,1.8415,184.15,578.096,0
37.2,1066.023,1.847,184.7,578.51,0
37.3,1066.913,1.852,185.2,578.993,0
37.4,1067.255,1.857,185.7,579.179,0
37.5,1067.794,1.862,186.2,579.472,0
37.6,1068.905,1.867,186.7,580.074,0
37.7,1068.978,1.872,187.2,580.114,0
37.8,1069.748,1.8775,187.75,580.532,0
37.9,1070.439,1.882,188.2,580.907,0
38,1070.829,1.887,188.7,581.118,0
38.1,1071.567,1.892,189.2,581.519,0
38.2,1072.114,1.897,189.7,581.816,0
38.3,1072.289,1.9015,190.15,581.911,0
38.4,1073.347,1.9065,190.65,582.485,0
38.5,1074.052,1.9115,191.15,582.868,0
38.6,1074.728,1.9165,191.65,583.234,0
38.7,1075.516,1.9215,192.15,583.662,0
38.8,1075.911,1.9265,192.65,583.876,0
38.9,1076.754,1.932,193.2,584.334,0
39,1077.555,1.937,193.7,584.768,0
39.1,1077.751,1.942,194.2,584.875,0
39.2,1078.659,1.947,194.7,585.368,0
39.3,1079.192,1.952,195.2,585.657,0
39.4,1079.495,1.957,195.7,585.821,0
39.5,1080.564,1.962,196.2,586.402,0
39.6,1080.838,1.967,196.7,586.55,0
39.7,1080.982,1.9715,197.15,586.628,0
39.8,1082.165,1.977,197.7,587.271,0
39.9,1082.478,1.9815,198.15,587.44,0
40,1082.94,1.9865,198.65,587.691,0
40.1,1084.039,1.9915,199.15,588.287,0
40.2,1084.371,1.9965,199.65,588.467,0
40.3,1085.065,2.0015,200.15,588.844,0
40.4,1085.892,2.0065,200.65,589.293,0
40.5,1086.247,2.0115,201.15,589.486,0
40.6,1087.036,2.017,201.7,589.914,0
40.7,1087.528,2.022,202.2,590.181,0
40.8,1087.887,2.027,202.7,590.375,0
40.9,1088.716,2.0325,203.25,590.825,0
41,1089.034,2.037,203.7,590.998,0
41.1,1089.349,2.042,204.2,591.169,0
41.2,1090.526,2.047,204.7,591.808,0
41.3,1090.544,2.052,205.2,591.817,0
41.4,1090.778,2.057,205.7,591.944,0
41.5,1091.741,2.062,206.2,592.467,0
41.6,1091.748,2.0665,206.65,592.471,0
41.7,1092.244,2.0715,207.15,592.74,0
41.8,1093.318,2.0765,207.65,593.323,0
41.9,1093.511,2.081,208.1,593.427,0
42,1094.348,2.0865,208.65,593.882,0
42.1,1095.053,2.0915,209.15,594.264,0
42.2,1095.306,2.0965,209.65,594.401,0
42.3,1096.144,2.102,210.2,594.856,0
42.4,1096.657,2.107,210.7,595.135,0
42.5,1096.988,2.112,211.2,595.315,0
42.6,1097.965,2.117,211.7,595.845,0
42.7,1097.899,2.1215,212.15,595.809,0
42.8,1098.579,2.127,212.7,596.178,0
42.9,1099.278,2.132,213.2,596.557,0
43,1099.151,2.1365,213.65,596.488,0
43.1,1099.726,2.142,214.2,596.8,0
43.2,1100.162,2.1465,214.65,597.037,0
43.3,1100.513,2.151,215.1,597.227,0
43.4,1101.314,2.1565,215.65,597.662,0
43.5,1101.691,2.161,216.1,597.867,0
43.6,1102.2,2.1665,216.65,598.143,0
43.7,1103.05,2.1715,217.15,598.604,0
43.8,1103.345,2.1765,217.65,598.764,0
43.9,1103.863,2.182,218.2,599.045,0
44,1104.645,2.187,218.7,599.47,0
